ID	Line	LenhSX	MaHang	POID	PO	DauSizeID	DauSize	ColorID	MaMau	SizeID	Size	MocTgian	SPLoi	MaCongDoan	Code	PageX	PageY	NgayKiem	IsQC	LanKiem	StatusHT	NgayHT	StatusKiemLai	Image	NoiDungLoi	StatusKT	ImageKiemLai	NhanVienKiem	NVKiemLai	NgayKiemlai	CheckKiem	StatusKiemMau	Module
22	105	5	131000-120-R6H3	DH_30|5010347___14226	5010347 / 14226	0	0	MAU_F120_R6	DARK NAVY	SIZE_M	M	1	1	1.17	A12	0	0	2025-09-17 09:13:00.000	1	1	0	NULL	0	105_131000120R6H3_17092025_091334684_0.png	 	0	NULL	Cosmos inline	NULL	NULL	NULL	0	NULL
23	105	5	131000-120-R6H3	DH_30|5010347___14226	5010347 / 14226	0	0	MAU_F120_R6	DARK NAVY	SIZE_M	M	1	2	1.7	A12	0	0	2025-09-17 09:15:00.000	1	1	0	NULL	0	105_131000120R6H3_17092025_091555773_0.png		0	NULL	Cosmos inline	NULL	NULL	NULL	0	NULL
24	102	1	0088 521 04 V0.0	DH_6|5010420	5010420	0	0	MAU_Z9	BLACK	SIZE_100	100	1	1	2.11	A12	0	0	2025-09-17 09:17:00.000	1	3	0	NULL	0	102_0088 521 04 V00_17092025_091719026_0.png	 Bọ cao thấp	0	NULL	Cherry inline	NULL	NULL	NULL	0	NULL
25	104	4	0088 388 13 V0.2	DH_19|5010287	5010287	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	1	2.3	A2	0	0	2025-09-18 09:42:00.000	1	2	0	NULL	0	104_0088 388 13 V02_18092025_094257417_0.png	 Diễu 2 kim miệng túi sườn bung chỉ  	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
26	101	10	SA-893-208-133	DH_18|PO_610353100	PO 610353100	0	0	MAU_ART_348809	ROSE	SIZE_44	44	2	1	2.1	A8	0	0	2025-09-18 10:09:00.000	1	2	0	NULL	0	101_SA893208133_18092025_100934658_0.png	Chốt dây lưng thiếu mũi	0	NULL	DAISY INLINE	NULL	NULL	NULL	0	NULL
27	105	5	131000-120-R6H3	DH_30|5010347___14226	5010347 / 14226	0	0	MAU_F120_R6	DARK NAVY	SIZE_M	M	2	1	1.11	A2	0	0	2025-09-18 10:10:00.000	1	2	0	NULL	0	105_131000120R6H3_18092025_101003501_0.png	 	0	NULL	Cosmos inline	NULL	NULL	NULL	0	NULL
28	101	10	SA-893-208-133	DH_18|PO_610353100	PO 610353100	0	0	MAU_ART_348809	ROSE	SIZE_44	44	2	2	2.1	D5	0	0	2025-09-18 10:34:00.000	1	2	0	NULL	0	101_SA893208133_18092025_103452243_0.png	Kansai lưng xếp ly	0	NULL	DAISY INLINE	NULL	NULL	NULL	0	NULL
29	104	4	0088 388 13 V0.2	DH_19|5010287	5010287	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	2	2.2	A5	0	0	2025-09-18 11:33:00.000	1	2	0	NULL	0	104_0088 388 13 V02_18092025_113345026_0.png	 Xì diễu 2 kim đường ráp thân trước 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
30	109	16	0088 342 29 V0.2	DH_51|PO 5010441	PO 5010441	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_L	L	3	1	2.1	A1	0	0	2025-09-18 13:59:00.000	1	2	0	NULL	0	109_0088 342 29 V02_18092025_135924587_0.png	 	0	NULL	PANSY INLINE	NULL	NULL	NULL	0	NULL
31	102	1	0088 521 04 V0.0	DH_6|5010420	5010420	0	0	MAU_Z9	BLACK	SIZE_100	100	4	1	2.2	A2	0	0	2025-09-18 18:07:00.000	1	4	3	NULL	0	102_0088 521 04 V00_18092025_180709346_0.png	 Đứt chỉ diễu 2 kim 	0	NULL	Cherry inline	NULL	NULL	NULL	0	NULL
32	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	2	1	1.17	D5	0	0	2025-09-18 18:24:00.000	1	1	0	NULL	0		 Diễu nắp túi radio nhốt mí	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
33	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	2	1	1.17	D5	0	0	2025-09-18 18:24:00.000	1	1	0	NULL	0		 Diễu nắp túi radio nhốt mí	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
34	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	2	1	1.17	D5	0	0	2025-09-18 18:24:00.000	1	1	0	NULL	0		 Diễu nắp túi radio nhốt mí	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
35	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	2	1	1.17	D5	0	0	2025-09-18 18:24:00.000	1	1	0	NULL	0		 Diễu nắp túi radio nhốt mí	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
36	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	2	1	1.17	D5	0	0	2025-09-18 18:24:00.000	1	1	0	NULL	0		 Diễu nắp túi radio nhốt mí	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
37	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	2	2	1.4	A4	0	0	2025-09-18 18:25:00.000	1	1	0	NULL	0			0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
38	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	2	3	1.4	D5	0	0	2025-09-18 18:26:00.000	1	1	0	NULL	0			0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
39	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	2	4	1.17	D5	0	0	2025-09-18 18:27:00.000	1	1	0	NULL	0		Diễu nắp túi radio nhốt mí	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
40	109	16	0088 342 29 V0.2	DH_51|PO 5010441	PO 5010441	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_L	L	4	2	2.1	D5	0	0	2025-09-18 18:52:00.000	1	2	0	NULL	0	109_0088 342 29 V02_18092025_185227123_0.png	 Thiếu nút thân trước 	0	NULL	PANSY INLINE	NULL	NULL	NULL	0	NULL
41	105	5	131000-120-R6H3	DH_30|5010347___14226	5010347 / 14226	0	0	MAU_F120_R6	DARK NAVY	SIZE_XL	XL	1	1	1.13	A4	0	0	2025-09-19 09:12:00.000	1	3	0	NULL	0	105_131000120R6H3_19092025_091234172_0.png	 	0	NULL	Cosmos inline	NULL	NULL	NULL	0	NULL
42	109	16	0088 342 29 V0.2	DH_51|PO 5010441	PO 5010441	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_3XL	3XL	2	1	2.1	D5	0	0	2025-09-19 10:43:00.000	1	3	0	NULL	0	109_0088 342 29 V02_19092025_104328779_0.png	 Gắn sai khoảng cách passant => SỬA	0	NULL	PANSY INLINE	NULL	NULL	NULL	0	NULL
43	104	4	0088 388 13 V0.2	DH_19|5010371	5010371	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	2	1	2.14	D5	0	0	2025-09-19 14:08:00.000	1	3	0	NULL	0	104_0088 388 13 V02_19092025_140805349_0.png	 Lưng đệm bố cao thấp(sửa)	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
44	109	16	0088 342 29 V0.2	DH_51|PO 5010441	PO 5010441	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_3XL	3XL	3	2	2.6	D5	0	0	2025-09-19 14:09:00.000	1	3	0	NULL	0	109_0088 342 29 V02_19092025_140907562_0.png	 Thiếu đệm bọ => SỬA	0	NULL	PANSY INLINE	NULL	NULL	NULL	0	NULL
45	105	5	131000-120-R6H3	DH_30|5010347___14226	5010347 / 14226	0	0	MAU_F120_R6	DARK NAVY	SIZE_M	M	1	1	1.9	A12	0	0	2025-09-19 17:08:00.000	1	3	0	NULL	0			0	NULL	Cosmos inline	NULL	NULL	NULL	0	NULL
46	105	5	131000-120-R6H3	DH_30|5010347___14226	5010347 / 14226	0	0	MAU_F120_R6	DARK NAVY	SIZE_M	M	1	1	1.5	A12	0	0	2025-09-19 17:08:00.000	1	3	0	NULL	0			0	NULL	Cosmos inline	NULL	NULL	NULL	0	NULL
47	105	5	131000-120-R6H3	DH_30|5010347___14226	5010347 / 14226	0	0	MAU_F120_R6	DARK NAVY	SIZE_M	M	1	1	1.13	A12	0	0	2025-09-19 17:08:00.000	1	3	0	NULL	0	105_131000120R6H3_19092025_170816063_2.png		0	NULL	Cosmos inline	NULL	NULL	NULL	0	NULL
48	109	16	0088 342 29 V0.2	DH_51|PO 5010441	PO 5010441	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_L	L	4	1	2.3	A6	0	0	2025-09-19 19:17:00.000	1	3	0	NULL	0	109_0088 342 29 V02_19092025_191743107_0.png	 	0	NULL	PANSY INLINE	NULL	NULL	NULL	0	NULL
49	109	16	0088 342 29 V0.2	DH_51|PO 5010441	PO 5010441	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_M	M	2	1	2.13	A2	0	0	2025-09-22 13:06:00.000	1	5	0	NULL	0	109_0088 342 29 V02_22092025_130654653_0.png	 	0	NULL	PANSY INLINE	NULL	NULL	NULL	0	NULL
50	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	3	1	1.4	D5	0	0	2025-09-22 13:28:00.000	1	2	0	NULL	0	103_LZN00217_22092025_132824524_0.png	 Đóng nắp túi túi lòi ba dớ	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
51	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	3	2	1.17	A7	0	0	2025-09-22 13:29:00.000	1	2	0	NULL	0	103_LZN00217_22092025_132920587_0.png	Diễu túi radio công, nhốt mí	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
52	103	8	LZN-00217	DH_38|5010419	5010419 	0	0	MAU_NAVY	NAVY	SIZE_M	M	4	3	1.4	D5	0	0	2025-09-22 15:41:00.000	1	2	0	NULL	0	103_LZN00217_22092025_154104021_0.png	 Nắp túi xéo	0	NULL	Tulip inline	NULL	NULL	NULL	0	NULL
53	105	5	131000-120-R6H3	DH_30|5010347___14226	5010347 / 14226	0	0	MAU_F120_R6	DARK NAVY	SIZE_3XL	3XL	4	1	1.15	D3	0	0	2025-09-22 15:56:00.000	1	4	0	NULL	0	105_131000120R6H3_22092025_155650209_0.png	 Chỉ khác màu 	0	NULL	Cosmos inline	NULL	NULL	NULL	0	NULL
54	105	5	131000-120-R6H3	DH_30|5010347___14226	5010347 / 14226	0	0	MAU_F120_R6	DARK NAVY	SIZE_L	L	4	1	1.15	A4	0	0	2025-09-22 16:02:00.000	1	4	0	NULL	0	105_131000120R6H3_22092025_160232077_0.png	 	0	NULL	Cosmos inline	NULL	NULL	NULL	0	NULL
55	104	4	0088 388 13 V0.2	DH_19|5010287	5010287	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	3	1	2.10	A1	0	0	2025-09-22 16:19:00.000	1	4	3	NULL	0	104_0088 388 13 V02_22092025_161916150_0.png|104_0088 388 13 V02_22092025_161916165_1.png	 Bỏ mũi đây đeo yếm cam 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
56	104	4	0088 388 13 V0.2	DH_19|5010287	5010287	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	3	2	2.6	D5	0	0	2025-09-22 16:23:00.000	1	4	3	NULL	0		Nhe gốc  miệng túi sau 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
57	104	4	0088 388 13 V0.2	DH_19|5010287	5010287	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	3	2	2.6	A8	0	0	2025-09-22 16:23:00.000	1	4	3	NULL	0		Nhe gốc  miệng túi sau 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
58	104	4	0088 388 13 V0.2	DH_19|5010287	5010287	0	0	MAU_F608_V8	DARK ANTHRACITE	SIZE_XL	XL	3	2	2.6	D5	0	0	2025-09-22 16:23:00.000	1	4	3	NULL	0		Nhe gốc  miệng túi sau 	0	NULL	Orchid inline	NULL	NULL	NULL	0	NULL
59	102	1	0088 521 04 V0.0	DH_6|5010420	5010420	0	0	MAU_Z9	BLACK	SIZE_90	90	4	1	2.7	A18	0	0	2025-09-22 18:46:00.000	1	5	0	NULL	0	102_0088 521 04 V00_22092025_184606775_0.png	 Bọ cao thấp	0	NULL	Cherry inline	NULL	NULL	NULL	0	NULL
60	102	1	0088 521 04 V0.0	DH_6|5010420	5010420	0	0	MAU_Z9	BLACK	SIZE_90	90	4	2	2.13	D5	0	0	2025-09-22 18:49:00.000	1	5	0	NULL	0	102_0088 521 04 V00_24092025_141139631_0.png	Ngược khóa cài dây 	0	NULL	Cherry inline	NULL	NULL	NULL	0	NULL
61	102	1	0088 521 04 V0.0	DH_6|5010420	5010420	0	0	MAU_Z9	BLACK	SIZE_90	90	4	3	2.4	A2	0	0	2025-09-22 18:51:00.000	1	5	0	NULL	0	102_0088 521 04 V00_22092025_185109756_0.png	Đứt chỉ lai 	0	NULL	Cherry inline	NULL	NULL	NULL	0	NULL
62	102	1	0088 521 04 V0.0	DH_6|5010420	5010420	0	0	MAU_Z9	BLACK	SIZE_90	90	4	4	2.2	A2	0	0	2025-09-22 18:53:00.000	1	5	0	NULL	0	102_0088 521 04 V00_22092025_185325897_0.png	Đứt chỉ 2 kim ráp gối 	0	NULL	Cherry inline	NULL	NULL	NULL	0	NULL
